106, 0.017670
106, 0.007690
106, 0.007690
103, 0.007629
106, 0.012756
106, 0.012695
105, 0.012848
106, 0.007691
28, 0.007721
1, 0.008942
102, 0.012634
105, 0.012787
105, 0.007630
102, 0.012665
106, 0.007782
106, 0.012695
106, 0.007660
106, 0.007568
106, 0.006530
28, 0.007691
102, 0.007690
105, 0.000336
105, 0.007752
102, 0.007904
105, 0.012756
105, 0.013184
106, 0.012634
28, 0.012757
1, 0.007660
102, 0.007660
106, 0.007538
106, 0.012635
28, 0.012665
102, 0.034088
103, 0.033997
105, 0.006500
106, 0.005767
106, 0.012756
105, 0.013306
106, 0.012664
28, 0.012146
108, 0.012879
108, 0.012696
108, 0.012635
106, 0.012726
103, 0.007690
103, 0.007690
105, 0.007690
108, 0.007721
108, 0.012696
106, 0.012695
103, 0.007630
103, 0.007660
105, 0.007751
108, 0.012696
108, 0.012726
106, 0.007690
103, 0.012695
103, 0.012695
105, 0.007630
108, 0.012665
108, 0.007660
106, 0.007721
1, 0.004364
1, 0.007721
1, 0.007690
1, 0.007691
1, 0.007812
102, 0.012359
106, 0.007721
102, 0.012695
105, 0.012573
102, 0.012696
1, 0.007721
1, 0.012665
106, 0.012726
28, 0.007691
102, 0.014039
1, 0.012695
1, 0.012726
105, 0.012634
102, 0.012725
105, 0.012909
105, 0.007538
102, 0.011505
106, 0.012879
102, 0.007691
1, 0.007782
106, 0.012879
106, 0.007111
103, 0.007690
106, 0.012787
106, 0.007538
1, 0.007904
28, 0.008362
1, 0.013977
108, 0.012695
105, 0.008697
105, 0.007751
105, 0.012757
106, 0.007721
28, 0.007813
1, 0.000244
103, 0.033935
106, 0.036499
28, 0.005005
108, 0.012908
108, 0.007935
108, 0.012879
106, 0.012665
103, 0.007721
103, 0.012726
105, 0.012665
108, 0.012513
108, 0.007569
106, 0.007569
103, 0.012665
103, 0.012726
105, 0.007660
1, 0.007690
1, 0.007690
1, 0.007599
1, 0.012726
1, 0.012665
102, 0.014190
105, 0.003875
102, 0.012726
1, 0.007659
106, 0.012665
28, 0.012696
28, 0.011475
106, 0.007721
106, 0.007019
1, 0.007660
28, 0.007660
108, 0.007691
106, 0.006774
106, 0.014373
105, 0.007660
105, 0.012604
106, 0.012757
106, 0.012634
106, 0.007690
106, 0.007660
1, 0.012665
